date,min_distance,closest_date,comparison,generator,synth_type
2001-06-13,135.44093231957598,2008-06-07,Train vs Train,Baseline,Baseline
2001-06-14,222.99709400870432,2010-06-02,Train vs Train,Baseline,Baseline
2001-06-15,130.558905952568,2007-06-05,Train vs Train,Baseline,Baseline
2001-06-16,87.9926461554498,2006-06-20,Train vs Train,Baseline,Baseline
2001-06-17,164.01596171848635,2004-06-10,Train vs Train,Baseline,Baseline
2001-06-18,90.4504869993139,2002-06-11,Train vs Train,Baseline,Baseline
2001-06-19,93.6492599025237,2018-06-11,Train vs Train,Baseline,Baseline
2001-06-20,140.72263157275532,2016-06-07,Train vs Train,Baseline,Baseline
2001-06-21,178.09296825152356,1999-06-16,Train vs Train,Baseline,Baseline
2002-06-01,91.80337825099262,2011-06-05,Train vs Train,Baseline,Baseline
2002-06-02,95.68079522768579,2010-06-18,Train vs Train,Baseline,Baseline
2002-06-03,113.15801077009625,2010-06-18,Train vs Train,Baseline,Baseline
2002-06-04,216.81237173066222,2010-06-02,Train vs Train,Baseline,Baseline
2002-06-05,126.14080456016995,2017-06-05,Train vs Train,Baseline,Baseline
2002-06-06,88.81582918253768,2013-06-07,Train vs Train,Baseline,Baseline
2002-06-07,70.00330714968837,2010-06-04,Train vs Train,Baseline,Baseline
2002-06-08,74.46121104793917,2015-06-03,Train vs Train,Baseline,Baseline
2002-06-09,94.72718972145647,2018-06-17,Train vs Train,Baseline,Baseline
2002-06-10,96.96386374003714,2001-06-12,Train vs Train,Baseline,Baseline
2002-06-11,90.4504869993139,2001-06-18,Train vs Train,Baseline,Baseline
2002-06-12,199.1249381707205,2017-06-17,Train vs Train,Baseline,Baseline
2002-06-13,197.7940737882971,2006-06-07,Train vs Train,Baseline,Baseline
2002-06-14,120.3658638665609,2013-06-06,Train vs Train,Baseline,Baseline
2002-06-15,112.47519412486524,2003-06-09,Train vs Train,Baseline,Baseline
2002-06-16,186.67054449757927,2000-06-18,Train vs Train,Baseline,Baseline
2002-06-17,110.13511312413645,2002-06-01,Train vs Train,Baseline,Baseline
2002-06-18,140.22891039120447,2002-06-08,Train vs Train,Baseline,Baseline
2002-06-19,87.64033834715904,2017-06-10,Train vs Train,Baseline,Baseline
2002-06-20,88.99750874850612,2015-06-04,Train vs Train,Baseline,Baseline
2002-06-21,77.9414589532036,2007-06-12,Train vs Train,Baseline,Baseline
2003-06-01,89.00144576310633,2003-06-20,Train vs Train,Baseline,Baseline
2003-06-02,166.64522620346511,1999-06-16,Train vs Train,Baseline,Baseline
2003-06-03,122.75329191908872,2019-06-17,Train vs Train,Baseline,Baseline
2003-06-04,94.8141717825447,2006-06-13,Train vs Train,Baseline,Baseline
2003-06-05,83.1049353731787,2007-06-16,Train vs Train,Baseline,Baseline
2003-06-06,134.01720493407757,2002-06-14,Train vs Train,Baseline,Baseline
2003-06-07,128.64273560177597,2007-06-03,Train vs Train,Baseline,Baseline
2003-06-08,114.80012246196019,2005-06-14,Train vs Train,Baseline,Baseline
2003-06-09,112.47519412486524,2002-06-15,Train vs Train,Baseline,Baseline
2003-06-10,113.09403540254533,2020-06-03,Train vs Train,Baseline,Baseline
2003-06-11,121.52839348558624,2016-06-03,Train vs Train,Baseline,Baseline
2003-06-12,160.51102611015108,2003-06-19,Train vs Train,Baseline,Baseline
2003-06-13,89.93938990102345,2017-06-05,Train vs Train,Baseline,Baseline
2003-06-14,141.74065137740956,2016-06-01,Train vs Train,Baseline,Baseline
2003-06-15,105.90048535200265,2019-06-17,Train vs Train,Baseline,Baseline
2003-06-16,88.10281730300935,2017-06-04,Train vs Train,Baseline,Baseline
2003-06-17,86.15979812940165,2001-06-07,Train vs Train,Baseline,Baseline
2003-06-18,98.06179548095976,2006-06-07,Train vs Train,Baseline,Baseline
2003-06-19,120.95642954716165,2019-06-01,Train vs Train,Baseline,Baseline
2003-06-20,89.00144576310633,2003-06-01,Train vs Train,Baseline,Baseline
2003-06-21,117.35363856683752,2010-06-04,Train vs Train,Baseline,Baseline
2004-06-01,164.1955638992622,2019-06-02,Train vs Train,Baseline,Baseline
2004-06-02,152.2057245672712,2017-06-07,Train vs Train,Baseline,Baseline
2004-06-03,102.7902980369874,2017-06-07,Train vs Train,Baseline,Baseline
2004-06-04,111.02562216857318,2019-06-18,Train vs Train,Baseline,Baseline
2004-06-05,129.92531522548884,2010-06-10,Train vs Train,Baseline,Baseline
2004-06-06,113.69128364052557,2007-06-21,Train vs Train,Baseline,Baseline
2004-06-07,88.06010672888273,2002-06-08,Train vs Train,Baseline,Baseline
2004-06-08,103.37833542742327,2012-06-20,Train vs Train,Baseline,Baseline
2004-06-09,89.93896922128035,2016-06-10,Train vs Train,Baseline,Baseline
2004-06-10,90.4274608240464,2018-06-10,Train vs Train,Baseline,Baseline
2004-06-11,114.90045662809383,2005-06-08,Train vs Train,Baseline,Baseline
2004-06-12,96.93078674289181,2004-06-10,Train vs Train,Baseline,Baseline
2004-06-13,176.65473452828147,2009-06-16,Train vs Train,Baseline,Baseline
2004-06-14,85.38011021186182,2018-06-19,Train vs Train,Baseline,Baseline
2004-06-15,168.65625282903258,2018-06-07,Train vs Train,Baseline,Baseline
2004-06-16,104.70129379689729,2016-06-20,Train vs Train,Baseline,Baseline
2004-06-17,142.9467970307612,2005-06-21,Train vs Train,Baseline,Baseline
2004-06-18,170.00596489385524,2019-06-16,Train vs Train,Baseline,Baseline
2004-06-19,125.09558131242491,2003-06-16,Train vs Train,Baseline,Baseline
2004-06-20,131.80569402353962,2006-06-08,Train vs Train,Baseline,Baseline
2004-06-21,154.94594842072297,2015-06-15,Train vs Train,Baseline,Baseline
2005-06-01,97.21432083344291,2002-06-06,Train vs Train,Baseline,Baseline
2005-06-02,80.3383343922428,2005-06-19,Train vs Train,Baseline,Baseline
2005-06-03,165.1339682010935,2007-06-12,Train vs Train,Baseline,Baseline
2005-06-04,157.67457141412788,2012-06-17,Train vs Train,Baseline,Baseline
2005-06-05,156.99688530391725,2019-06-02,Train vs Train,Baseline,Baseline
2005-06-06,101.22746822710145,2015-06-06,Train vs Train,Baseline,Baseline
2005-06-07,110.70151718917131,2000-06-08,Train vs Train,Baseline,Baseline
2005-06-08,101.28157312092581,2011-06-03,Train vs Train,Baseline,Baseline
2005-06-09,190.43376506846863,2004-06-13,Train vs Train,Baseline,Baseline
2005-06-10,193.20018450203062,2020-06-04,Train vs Train,Baseline,Baseline
2005-06-13,186.53877166231615,2003-06-19,Train vs Train,Baseline,Baseline
2005-06-14,103.20702152302465,2007-06-04,Train vs Train,Baseline,Baseline
2005-06-15,111.64652529403362,2007-06-05,Train vs Train,Baseline,Baseline
2005-06-16,138.76801874113494,2012-06-08,Train vs Train,Baseline,Baseline
2005-06-17,160.4439709654011,2007-06-14,Train vs Train,Baseline,Baseline
2005-06-18,93.5910033654866,2005-06-02,Train vs Train,Baseline,Baseline
2005-06-19,80.3383343922428,2005-06-02,Train vs Train,Baseline,Baseline
2005-06-20,86.9669979066928,2015-06-17,Train vs Train,Baseline,Baseline
2005-06-21,100.98008354640197,2019-06-18,Train vs Train,Baseline,Baseline
2006-06-01,143.84992539626282,1999-06-16,Train vs Train,Baseline,Baseline
2006-06-02,89.9553126425021,2002-06-06,Train vs Train,Baseline,Baseline
2006-06-03,92.51792629496751,2017-06-20,Train vs Train,Baseline,Baseline
2006-06-04,83.02436901400576,2015-06-06,Train vs Train,Baseline,Baseline
2006-06-05,115.55903180449356,2005-06-19,Train vs Train,Baseline,Baseline
2006-06-06,159.6571487639809,2006-06-07,Train vs Train,Baseline,Baseline
2006-06-07,91.02382258691834,2001-06-07,Train vs Train,Baseline,Baseline
2006-06-08,79.85038754820306,2015-06-01,Train vs Train,Baseline,Baseline
2006-06-09,80.37316010073476,2010-06-04,Train vs Train,Baseline,Baseline
2006-06-10,91.99591450074934,2020-06-12,Train vs Train,Baseline,Baseline
2006-06-11,144.7152029989451,2001-06-20,Train vs Train,Baseline,Baseline
2006-06-12,173.3624852149146,2004-06-19,Train vs Train,Baseline,Baseline
2006-06-13,91.28178633445565,2003-06-16,Train vs Train,Baseline,Baseline
2006-06-14,76.54584366373327,2017-06-09,Train vs Train,Baseline,Baseline
2006-06-15,88.80131059214658,2002-06-08,Train vs Train,Baseline,Baseline
2006-06-16,90.58692760814546,2020-06-18,Train vs Train,Baseline,Baseline
2006-06-17,154.00948140824084,2009-06-02,Train vs Train,Baseline,Baseline
2006-06-18,140.59596591403795,2015-06-08,Train vs Train,Baseline,Baseline
2006-06-19,140.0115054349342,2013-06-03,Train vs Train,Baseline,Baseline
2006-06-20,87.9926461554498,2001-06-16,Train vs Train,Baseline,Baseline
2006-06-21,100.77178953553037,2017-06-17,Train vs Train,Baseline,Baseline
2007-06-01,195.31822768695568,2017-06-02,Train vs Train,Baseline,Baseline
2007-06-02,113.81679899987704,2009-06-11,Train vs Train,Baseline,Baseline
2007-06-03,105.79752715496598,2007-06-04,Train vs Train,Baseline,Baseline
2007-06-04,103.20702152302465,2005-06-14,Train vs Train,Baseline,Baseline
2007-06-05,109.07830347574092,2015-06-19,Train vs Train,Baseline,Baseline
2007-06-06,120.6701776367274,2017-06-10,Train vs Train,Baseline,Baseline
2007-06-07,156.21533330790677,2000-06-20,Train vs Train,Baseline,Baseline
2007-06-08,172.68254714217392,2013-06-02,Train vs Train,Baseline,Baseline
2007-06-09,95.11955706298116,2019-06-18,Train vs Train,Baseline,Baseline
2007-06-10,130.5239717907677,2018-06-05,Train vs Train,Baseline,Baseline
2007-06-11,95.28533133131899,2015-06-17,Train vs Train,Baseline,Baseline
2007-06-12,77.9414589532036,2002-06-21,Train vs Train,Baseline,Baseline
2007-06-13,127.14400322394185,2005-06-18,Train vs Train,Baseline,Baseline
2007-06-14,141.42175270146745,2003-06-16,Train vs Train,Baseline,Baseline
2007-06-15,110.27352108296992,2015-06-01,Train vs Train,Baseline,Baseline
2007-06-16,83.1049353731787,2003-06-05,Train vs Train,Baseline,Baseline
2007-06-17,93.52179721634838,2019-06-03,Train vs Train,Baseline,Baseline
2007-06-18,89.28805454163634,2015-06-03,Train vs Train,Baseline,Baseline
2007-06-19,90.37369404244403,2015-06-01,Train vs Train,Baseline,Baseline
2007-06-20,167.48990490556733,2015-06-01,Train vs Train,Baseline,Baseline
2007-06-21,87.77593808098698,2018-06-08,Train vs Train,Baseline,Baseline
2008-06-01,151.2737584902952,2017-06-08,Train vs Train,Baseline,Baseline
2008-06-02,114.80977726663818,2013-06-08,Train vs Train,Baseline,Baseline
2008-06-03,115.78249486124483,2004-06-11,Train vs Train,Baseline,Baseline
2008-06-04,161.91948530286288,2010-06-17,Train vs Train,Baseline,Baseline
2008-06-05,135.55411816856076,2011-06-20,Train vs Train,Baseline,Baseline
2008-06-06,178.0763797784264,2019-06-05,Train vs Train,Baseline,Baseline
2008-06-07,109.1232978454071,2012-06-20,Train vs Train,Baseline,Baseline
2008-06-08,113.81053740509343,2008-06-07,Train vs Train,Baseline,Baseline
2008-06-09,194.46555766972787,2005-06-15,Train vs Train,Baseline,Baseline
2008-06-10,101.9566928213949,2016-06-15,Train vs Train,Baseline,Baseline
2008-06-11,128.30232135548718,2002-06-10,Train vs Train,Baseline,Baseline
2008-06-12,114.66672919371308,2014-06-18,Train vs Train,Baseline,Baseline
2008-06-13,143.80883524225274,2010-06-06,Train vs Train,Baseline,Baseline
2008-06-14,84.15644092117589,2019-06-03,Train vs Train,Baseline,Baseline
2008-06-15,104.192914470494,2017-06-09,Train vs Train,Baseline,Baseline
2008-06-16,191.51078541111485,2007-06-15,Train vs Train,Baseline,Baseline
2008-06-17,126.37910256163522,2007-06-16,Train vs Train,Baseline,Baseline
2008-06-18,154.16159191897458,2017-06-08,Train vs Train,Baseline,Baseline
2008-06-19,147.24982970647028,2019-06-03,Train vs Train,Baseline,Baseline
2008-06-20,88.32554738094701,2017-06-05,Train vs Train,Baseline,Baseline
2008-06-21,100.92574844450647,2009-06-11,Train vs Train,Baseline,Baseline
2009-06-01,90.70243613203891,2018-06-10,Train vs Train,Baseline,Baseline
2009-06-02,119.83453930362118,2018-06-05,Train vs Train,Baseline,Baseline
2009-06-03,149.88785757605993,2000-06-05,Train vs Train,Baseline,Baseline
2009-06-04,96.52776615556503,1998-06-06,Train vs Train,Baseline,Baseline
2009-06-05,82.54342152653695,2010-06-04,Train vs Train,Baseline,Baseline
2009-06-06,119.47516347884456,2000-06-20,Train vs Train,Baseline,Baseline
2009-06-07,132.70362647154835,2011-06-06,Train vs Train,Baseline,Baseline
2009-06-08,145.15866811441438,2012-06-21,Train vs Train,Baseline,Baseline
2009-06-09,116.90541353421605,2011-06-01,Train vs Train,Baseline,Baseline
2009-06-10,132.3936595589951,2008-06-21,Train vs Train,Baseline,Baseline
2009-06-11,100.92574844450647,2008-06-21,Train vs Train,Baseline,Baseline
2009-06-12,135.96581702312798,2017-06-08,Train vs Train,Baseline,Baseline
2009-06-13,93.29300245519177,2017-06-04,Train vs Train,Baseline,Baseline
2009-06-14,130.83587087465992,1999-06-15,Train vs Train,Baseline,Baseline
2009-06-15,129.2907450101078,2016-06-21,Train vs Train,Baseline,Baseline
2009-06-16,127.74526543843226,2015-06-05,Train vs Train,Baseline,Baseline
2009-06-17,98.10053649148593,2006-06-20,Train vs Train,Baseline,Baseline
2009-06-18,91.4616592674116,2011-06-06,Train vs Train,Baseline,Baseline
2009-06-19,101.7454794237733,2013-06-12,Train vs Train,Baseline,Baseline
2009-06-20,144.67303241864207,2016-06-15,Train vs Train,Baseline,Baseline
2009-06-21,97.74627268689575,2010-06-18,Train vs Train,Baseline,Baseline
2010-06-01,81.93092324317767,2016-06-08,Train vs Train,Baseline,Baseline
2010-06-02,113.46568614067765,2003-06-10,Train vs Train,Baseline,Baseline
2010-06-03,133.5795543122368,2019-06-08,Train vs Train,Baseline,Baseline
2010-06-04,70.00330714968837,2002-06-07,Train vs Train,Baseline,Baseline
2010-06-05,81.25292824410431,2020-06-14,Train vs Train,Baseline,Baseline
2010-06-06,136.42287127454406,2012-06-05,Train vs Train,Baseline,Baseline
2010-06-07,140.31217099472153,2007-06-19,Train vs Train,Baseline,Baseline
2010-06-08,94.92305579761569,2011-06-13,Train vs Train,Baseline,Baseline
2010-06-09,176.9487415951161,2015-06-17,Train vs Train,Baseline,Baseline
2010-06-10,77.45878781988753,2017-06-09,Train vs Train,Baseline,Baseline
2010-06-11,105.38848018918853,2020-06-18,Train vs Train,Baseline,Baseline
2010-06-12,84.82138097577916,2018-06-18,Train vs Train,Baseline,Baseline
2010-06-13,142.25999173774363,2016-06-20,Train vs Train,Baseline,Baseline
2010-06-14,170.51717857333242,2012-06-07,Train vs Train,Baseline,Baseline
2010-06-15,140.41251872779986,2019-06-01,Train vs Train,Baseline,Baseline
2010-06-16,97.98603157732772,2010-06-04,Train vs Train,Baseline,Baseline
2010-06-17,96.90718439559375,2018-06-14,Train vs Train,Baseline,Baseline
2010-06-18,95.68079522768579,2002-06-02,Train vs Train,Baseline,Baseline
2010-06-19,78.39795764517912,2010-06-20,Train vs Train,Baseline,Baseline
2010-06-20,78.39795764517912,2010-06-19,Train vs Train,Baseline,Baseline
2010-06-21,76.26220156702281,2000-06-07,Train vs Train,Baseline,Baseline
2011-06-01,90.98605439780307,2015-06-02,Train vs Train,Baseline,Baseline
2011-06-02,95.86047616490501,1999-06-04,Train vs Train,Baseline,Baseline
2011-06-03,93.36864955908412,2011-06-07,Train vs Train,Baseline,Baseline
2011-06-04,104.88563466879573,2020-06-12,Train vs Train,Baseline,Baseline
2011-06-05,91.80337825099262,2002-06-01,Train vs Train,Baseline,Baseline
2011-06-06,91.4616592674116,2009-06-18,Train vs Train,Baseline,Baseline
2011-06-07,82.99598990551787,2013-06-21,Train vs Train,Baseline,Baseline
2011-06-08,85.59158347495763,2017-06-11,Train vs Train,Baseline,Baseline
2011-06-09,138.18650665513016,2013-06-21,Train vs Train,Baseline,Baseline
2011-06-10,191.4122102603007,2014-06-04,Train vs Train,Baseline,Baseline
2011-06-11,114.73572170654352,2014-06-08,Train vs Train,Baseline,Baseline
2011-06-12,204.19664749260664,2003-06-05,Train vs Train,Baseline,Baseline
2011-06-13,94.92305579761569,2010-06-08,Train vs Train,Baseline,Baseline
2011-06-14,154.01333414270394,1998-06-18,Train vs Train,Baseline,Baseline
2011-06-15,123.0089474866896,2003-06-15,Train vs Train,Baseline,Baseline
2011-06-18,157.03034949617845,2013-06-13,Train vs Train,Baseline,Baseline
2011-06-19,163.5782408097641,2011-06-01,Train vs Train,Baseline,Baseline
2011-06-20,135.55411816856076,2008-06-05,Train vs Train,Baseline,Baseline
2011-06-21,191.92823075371203,2003-06-08,Train vs Train,Baseline,Baseline
2012-06-01,96.23398189045655,2014-06-13,Train vs Train,Baseline,Baseline
2012-06-02,104.71023094712591,2005-06-20,Train vs Train,Baseline,Baseline
2012-06-03,132.28802564896992,2018-06-04,Train vs Train,Baseline,Baseline
2012-06-04,134.61843905598454,2005-06-20,Train vs Train,Baseline,Baseline
2012-06-05,109.65009596742392,2001-06-07,Train vs Train,Baseline,Baseline
2012-06-06,113.69746193194712,1999-06-15,Train vs Train,Baseline,Baseline
2012-06-07,115.09298621105677,2015-06-17,Train vs Train,Baseline,Baseline
2012-06-08,100.52890485891322,2019-06-03,Train vs Train,Baseline,Baseline
2012-06-09,85.32957371756659,2000-06-07,Train vs Train,Baseline,Baseline
2012-06-10,99.46259687962076,2020-06-18,Train vs Train,Baseline,Baseline
2012-06-11,139.84561927515227,1999-06-16,Train vs Train,Baseline,Baseline
2012-06-12,124.8652986908994,2003-06-01,Train vs Train,Baseline,Baseline
2012-06-13,77.72642910630697,2015-06-02,Train vs Train,Baseline,Baseline
2012-06-14,91.53412641464158,2015-06-03,Train vs Train,Baseline,Baseline
2012-06-15,229.60921156793492,2012-06-08,Train vs Train,Baseline,Baseline
2012-06-16,122.23246700689259,2015-06-05,Train vs Train,Baseline,Baseline
2012-06-17,101.38988717934377,2015-06-20,Train vs Train,Baseline,Baseline
2012-06-18,93.35580019327574,2002-06-19,Train vs Train,Baseline,Baseline
2012-06-19,93.50930171384681,2001-06-12,Train vs Train,Baseline,Baseline
2012-06-20,100.6630463244157,2017-06-11,Train vs Train,Baseline,Baseline
2012-06-21,145.15866811441438,2009-06-08,Train vs Train,Baseline,Baseline
2013-06-01,123.79448877241374,2002-06-14,Train vs Train,Baseline,Baseline
2013-06-02,115.1275843298213,2016-06-05,Train vs Train,Baseline,Baseline
2013-06-03,80.2902756313517,2018-06-01,Train vs Train,Baseline,Baseline
2013-06-04,177.88185226332942,2020-06-04,Train vs Train,Baseline,Baseline
2013-06-05,184.93339674336707,2008-06-21,Train vs Train,Baseline,Baseline
2013-06-06,106.37019257201699,1999-06-13,Train vs Train,Baseline,Baseline
2013-06-07,88.81582918253768,2002-06-06,Train vs Train,Baseline,Baseline
2013-06-08,88.64120978432047,2012-06-09,Train vs Train,Baseline,Baseline
2013-06-09,141.95700799296583,2007-06-02,Train vs Train,Baseline,Baseline
2013-06-10,110.3663610708986,2011-06-05,Train vs Train,Baseline,Baseline
2013-06-11,100.23662093566776,2001-06-16,Train vs Train,Baseline,Baseline
2013-06-12,101.7454794237733,2009-06-19,Train vs Train,Baseline,Baseline
2013-06-13,113.7168271120584,2001-06-02,Train vs Train,Baseline,Baseline
2013-06-14,90.60724127037084,2010-06-04,Train vs Train,Baseline,Baseline
2013-06-15,108.83547061604484,2015-06-06,Train vs Train,Baseline,Baseline
2013-06-16,117.14948893851269,2016-06-20,Train vs Train,Baseline,Baseline
2013-06-17,134.22486526826626,2009-06-11,Train vs Train,Baseline,Baseline
2013-06-18,94.7285013837636,2016-06-03,Train vs Train,Baseline,Baseline
2013-06-19,87.05383439765627,2005-06-02,Train vs Train,Baseline,Baseline
2013-06-20,85.70379173413194,2002-06-08,Train vs Train,Baseline,Baseline
2013-06-21,82.99598990551787,2011-06-07,Train vs Train,Baseline,Baseline
2014-06-01,87.16004359213649,2010-06-10,Train vs Train,Baseline,Baseline
2014-06-02,155.36750578234464,2009-06-02,Train vs Train,Baseline,Baseline
2014-06-03,102.58883632708444,2014-06-01,Train vs Train,Baseline,Baseline
2014-06-04,123.23124427264528,2003-06-10,Train vs Train,Baseline,Baseline
2014-06-05,145.8718197603456,1999-06-20,Train vs Train,Baseline,Baseline
2014-06-06,160.13024936312618,2000-06-03,Train vs Train,Baseline,Baseline
2014-06-07,190.96359567897497,2004-06-18,Train vs Train,Baseline,Baseline
2014-06-08,98.69112112434732,1999-06-17,Train vs Train,Baseline,Baseline
2014-06-09,183.54186109673466,2020-06-09,Train vs Train,Baseline,Baseline
2014-06-10,117.70427433172289,1999-06-13,Train vs Train,Baseline,Baseline
2014-06-11,97.53144102598186,2019-06-11,Train vs Train,Baseline,Baseline
2014-06-12,174.8718834414484,1999-06-16,Train vs Train,Baseline,Baseline
2014-06-13,95.50115739991895,2003-06-01,Train vs Train,Baseline,Baseline
2014-06-14,88.22723074383946,2014-06-16,Train vs Train,Baseline,Baseline
2014-06-15,186.1566892834264,2001-06-20,Train vs Train,Baseline,Baseline
2014-06-16,87.70368791186252,2013-06-20,Train vs Train,Baseline,Baseline
2014-06-17,111.87571391615772,2017-06-11,Train vs Train,Baseline,Baseline
2014-06-18,84.72569306094618,2011-06-07,Train vs Train,Baseline,Baseline
2014-06-19,119.8270650805717,2020-06-02,Train vs Train,Baseline,Baseline
2014-06-20,117.69808189049806,2015-06-06,Train vs Train,Baseline,Baseline
2014-06-21,82.12738568794892,2020-06-13,Train vs Train,Baseline,Baseline
2015-06-01,79.85038754820306,2006-06-08,Train vs Train,Baseline,Baseline
2015-06-02,77.72642910630697,2012-06-13,Train vs Train,Baseline,Baseline
2015-06-03,74.46121104793917,2002-06-08,Train vs Train,Baseline,Baseline
2015-06-04,79.00083424313928,2020-06-16,Train vs Train,Baseline,Baseline
2015-06-05,103.73823451100358,2018-06-05,Train vs Train,Baseline,Baseline
2015-06-06,76.23448683868493,2010-06-04,Train vs Train,Baseline,Baseline
2015-06-07,92.15119898398041,2011-06-05,Train vs Train,Baseline,Baseline
2015-06-08,140.59596591403795,2006-06-18,Train vs Train,Baseline,Baseline
