date,hour,es_train,es_synth,avg_wind_speed,es_diff
1994-06-01,0,17.693226192273652,19.324430618998836,6.443666648864746,1.6312044267251835
1994-06-02,0,16.944583923270233,16.032978034823945,7.945316672325133,-0.9116058884462888
1994-06-03,0,14.37774132445993,15.562885066229494,5.156816697120666,1.185143741769565
1994-06-04,0,44.1843298059233,51.469654372540674,5.674200018246968,7.285324566617376
1994-06-05,0,14.087282826407343,13.325649356151626,6.766583331425984,-0.7616334702557168
1994-06-06,0,30.2207331452876,31.644791416472497,10.246999963124596,1.4240582711848973
1994-06-07,0,25.06063178623523,28.743628548120856,6.858250006039937,3.682996761885626
1994-06-08,0,31.46102356608024,34.207841925159826,9.527833366394045,2.7468183590795867
1994-06-09,0,70.62604930746238,79.54702099469664,9.956500037511189,8.920971687234257
1994-06-10,0,41.15283985893271,48.297382710117205,5.618699979782104,7.144542851184497
1994-06-11,0,24.223092072899927,28.21750310036553,5.525966628392537,3.9944110274656026
1994-06-12,0,16.90830694761485,18.138619670277915,6.900549983978271,1.230312722663065
1994-06-13,0,27.62341905145877,27.921756352780793,10.17883335749308,0.29833730132202163
1994-06-14,0,29.968090119969528,27.79846701759112,10.294333314895626,-2.1696231023784094
1994-06-15,0,43.4194678000967,42.702073205314974,12.62600003878276,-0.7173945947817231
1994-06-16,0,34.475903533929625,34.90414490002348,11.279666694005329,0.4282413660938573
1994-06-18,0,20.512757386266973,21.694670114700177,8.216033379236857,1.181912728433204
1994-06-19,0,29.156338424339882,33.08421802304579,7.530900017420451,3.9278795987059105
1994-06-20,0,13.237851570914888,13.531881182565325,5.252066695690155,0.29402961165043706
1994-06-21,0,12.250401049314316,12.27457170610251,5.443716669082642,0.024170656788193412
1995-06-01,0,32.717489900785324,37.93740136661357,3.3340500076611836,5.219911465828247
1995-06-03,0,15.819780208808698,17.220529947035676,6.112516633669535,1.4007497382269776
1995-06-04,0,29.45887742277556,31.933298280049403,9.083583299318947,2.4744208572738415
1995-06-05,0,38.68956395580133,38.19146392847797,10.175183427333831,-0.49810002732336045
1995-06-06,0,12.753623768289916,11.399671631102212,4.031849992275238,-1.3539521371877044
1995-06-07,0,14.535052809539561,15.144287403447333,6.418950001398722,0.6092345939077717
1995-06-08,0,15.15797831702329,14.079578251722037,7.435716676712037,-1.0784000653012527
