date,es_train,es_synth,avg_wind_speed,es_diff,generator,synth_type
1994-06-01,76.55499057214035,82.71157998742532,5.174079168008431,6.156589415284969,No_Weather,Independent
1994-06-02,73.30442385689841,74.97759709652792,4.3926958333287,1.6731732396295058,No_Weather,Independent
1994-06-03,161.29285528134085,153.47518160104804,4.233190276080536,-7.817673680292813,No_Weather,Independent
1994-06-04,97.2534220766374,94.62774988797497,4.186313886216121,-2.625672188662435,No_Weather,Independent
1994-06-05,107.39031785227453,121.99285624815693,7.241473616328524,14.602538395882391,No_Weather,Independent
1994-06-06,159.41064195902368,148.52670843407097,5.11680693630542,-10.88393352495271,No_Weather,Independent
1994-06-07,114.27924689418816,119.88976775395147,6.672671530685498,5.610520859763312,No_Weather,Independent
1994-06-08,211.8624549827594,206.00280628815418,7.724572917156754,-5.859648694605227,No_Weather,Independent
1994-06-09,228.27122776454223,217.29303237592754,6.179847916298446,-10.978195388614694,No_Weather,Independent
1994-06-10,152.19009116029054,143.05446449048551,4.345248612595933,-9.13562666980502,No_Weather,Independent
1994-06-11,93.29950098160646,90.61416532399392,4.234724999508939,-2.6853356576125407,No_Weather,Independent
1994-06-12,79.26907582593483,87.35715838089558,5.632395832075042,8.08808255496075,No_Weather,Independent
1994-06-13,144.34116785566152,166.54781672399824,9.04054028011032,22.206648868336714,No_Weather,Independent
1994-06-14,215.9942100217374,238.6581714928951,11.221630559364966,22.663961471157705,No_Weather,Independent
1994-06-15,193.73870854255068,214.59768875463877,10.618949312302789,20.858980212088085,No_Weather,Independent
1994-06-16,175.6072835279425,193.07245109418326,10.079359025094242,17.46516756624075,No_Weather,Independent
1994-06-18,78.38505944500915,76.78506375293566,4.230090972325874,-1.5999956920734917,No_Weather,Independent
1994-06-19,93.13913508422601,88.28180994038698,3.9546159749229757,-4.857325143839034,No_Weather,Independent
1994-06-20,73.36107996297488,70.03872172357563,2.9828840296094588,-3.32235823939925,No_Weather,Independent
1994-06-21,88.29974064930605,81.7540881756546,3.5148368029751658,-6.545652473651444,No_Weather,Independent
1995-06-01,134.7643687751555,126.06722586538004,2.5143562479772523,-8.697142909775465,No_Weather,Independent
1995-06-03,118.84734831149242,111.49893608480534,4.527987495499348,-7.348412226687088,No_Weather,Independent
1995-06-04,120.43155249473139,124.2466388841444,6.092278478418785,3.815086389413011,No_Weather,Independent
1995-06-05,127.29163075147159,126.60970302895058,5.193716667054434,-0.6819277225210101,No_Weather,Independent
1995-06-06,91.21895950457647,95.68187845719444,5.278988891115598,4.462918952617969,No_Weather,Independent
1995-06-07,92.85129123403391,100.19865043743053,5.993875001764136,7.347359203396621,No_Weather,Independent
1995-06-08,183.74723208000745,179.2963421415799,7.600964595791372,-4.450889938427537,No_Weather,Independent
1995-06-09,225.7540759203418,222.96075228646774,8.525689578304691,-2.793323633874053,No_Weather,Independent
1995-06-10,244.13686066783856,233.29097096716416,5.534529169400525,-10.845889700674405,No_Weather,Independent
1995-06-11,233.60662278775027,223.42901107145045,5.1330437507894295,-10.177611716299822,No_Weather,Independent
1995-06-12,145.00272866852367,135.8307856103319,2.887049996904616,-9.171943058191772,No_Weather,Independent
1995-06-13,83.53379016833188,87.19094410665366,5.0027138924432935,3.657153938321784,No_Weather,Independent
1995-06-14,116.05640724136643,131.73217626279754,7.6838513831297695,15.675769021431108,No_Weather,Independent
1995-06-15,109.5475916631379,125.64511662180146,7.441861104634096,16.09752495866357,No_Weather,Independent
1995-06-16,84.46248378042296,96.17131215314859,6.30829584035608,11.708828372725634,No_Weather,Independent
1995-06-17,82.95203672925433,84.90938807925875,5.236539591020996,1.9573513500044157,No_Weather,Independent
1995-06-18,82.43407160371154,85.7746966832704,5.452481246656853,3.340625079558862,No_Weather,Independent
1995-06-19,71.6600424177071,75.93533282373349,4.949165974226256,4.275290406026386,No_Weather,Independent
1995-06-20,73.30668883909419,76.51250190330745,4.955419446859101,3.2058130642132596,No_Weather,Independent
1995-06-21,80.02184207387432,77.93535287894056,4.214841666445142,-2.086489194933762,No_Weather,Independent
1996-06-01,186.72649168551158,177.44567672511138,5.282075695714194,-9.280814960400193,No_Weather,Independent
1996-06-02,136.40865568971975,130.0873560176631,3.086253468423252,-6.321299672056654,No_Weather,Independent
1996-06-03,157.7783100380443,149.03806085097418,3.620672910867466,-8.740249187070134,No_Weather,Independent
1996-06-04,156.57695701726482,147.26844058896538,4.360381941331762,-9.308516428299441,No_Weather,Independent
1996-06-05,124.89661886519923,129.1955362794973,6.655003473493791,4.298917414298074,No_Weather,Independent
1996-06-06,210.37498506395298,203.85521903302381,5.932974307880643,-6.519766030929162,No_Weather,Independent
1996-06-07,273.0835410082055,264.0358671954456,6.330084731098702,-9.04767381275991,No_Weather,Independent
1996-06-08,260.9626883723821,248.98310518875977,5.953261108365329,-11.979583183622339,No_Weather,Independent
1996-06-09,174.07087632017846,163.49960029088604,3.5139666751027105,-10.57127602929242,No_Weather,Independent
1996-06-10,94.4129856743134,89.13819438163694,2.743564582760967,-5.274791292676468,No_Weather,Independent
1996-06-11,72.8464117822588,72.27776921369178,3.5628097224256123,-0.5686425685670145,No_Weather,Independent
1996-06-12,82.720554643134,80.14125190656205,3.54942777922583,-2.5793027365719468,No_Weather,Independent
1996-06-13,83.05799527153584,81.27844955343812,3.722746526698273,-1.7795457180977223,No_Weather,Independent
1996-06-14,87.31911979565476,86.53015140051167,3.4357784678952523,-0.7889683951430868,No_Weather,Independent
1996-06-15,87.84804345109407,81.89203443840083,3.7331701396447143,-5.956009012693244,No_Weather,Independent
1996-06-16,106.71288002908386,110.09038312563615,4.716563193976042,3.3775030965522888,No_Weather,Independent
1996-06-17,201.77753538632533,194.49956438253602,4.670782637202898,-7.277971003789304,No_Weather,Independent
1996-06-18,97.98440348048825,102.55401579832147,4.500180557287388,4.569612317833219,No_Weather,Independent
1996-06-19,152.1780379526515,148.985658998395,6.187337504244515,-3.1923789542564975,No_Weather,Independent
1996-06-20,135.27681914702237,136.86253054801594,7.0932624987429875,1.5857114009935742,No_Weather,Independent
1996-06-21,106.6655361331554,123.47256201691371,7.453672219316149,16.807025883758314,No_Weather,Independent
1997-06-01,128.99928185981906,119.57705101758225,2.4127881934348894,-9.422230842236814,No_Weather,Independent
1997-06-02,133.51045167548097,125.43307418006074,2.7823548624085017,-8.077377495420222,No_Weather,Independent
1997-06-03,129.3495963448908,122.0553042632051,2.486463890845573,-7.294292081685711,No_Weather,Independent
1997-06-04,154.3628254035769,147.79061433125375,4.431804164540439,-6.572211072323142,No_Weather,Independent
1997-06-06,103.53930714793515,95.06514376698823,2.90628888516997,-8.47416338094692,No_Weather,Independent
1997-06-07,103.1595608445042,97.51429301788087,2.990490970191441,-5.645267826623325,No_Weather,Independent
1997-06-08,115.55895682393194,108.02367035203667,3.8768958285658037,-7.535286471895262,No_Weather,Independent
1997-06-09,166.73185984694095,158.327325201611,4.815953471677166,-8.40453464532996,No_Weather,Independent
1997-06-10,157.3881835741588,148.41817715024533,4.223629167096487,-8.970006423913475,No_Weather,Independent
1997-06-11,85.89453724530608,83.9686122876679,3.508502080684747,-1.9259249576381876,No_Weather,Independent
1997-06-12,99.07421862092073,105.86624333228448,5.865596528765231,6.7920247113637515,No_Weather,Independent
1997-06-13,198.30096957134867,189.3290490860576,5.050572223795784,-8.971920485291065,No_Weather,Independent
1997-06-14,148.31708065854662,139.17917673133277,3.274218051611545,-9.137903927213841,No_Weather,Independent
1997-06-15,81.7932851368582,87.69386101403032,5.067351388931294,5.900575877172116,No_Weather,Independent
1997-06-16,180.57569987044457,171.22587453584126,4.77288749869914,-9.34982533460331,No_Weather,Independent
1997-06-17,171.34577453768526,160.3412085873792,4.069376390116911,-11.004565950306045,No_Weather,Independent
1997-06-18,102.8979868838137,103.39310834262366,4.68486597415888,0.4951214588099617,No_Weather,Independent
1997-06-19,98.34651814169686,113.64684696608731,6.951718064645941,15.300328824390448,No_Weather,Independent
